Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Country,Postal Code,Market,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority
220,US-2011-128776,28-12-2011,30-12-2011,Second Class,RR-19525,Rick Reed,Corporate,Santo Domingo,Santo Domingo,Dominican Republic,,LATAM,Caribbean,TEC-PH-10002815,Technology,Phones,"Samsung Smart Phone, VoIP",1696.64,5,0.2,-148.46,704.06,Critical
2641,US-2011-158554,09-08-2011,09-08-2011,Same Day,LH-16750,Larry Hughes,Consumer,Santo Domingo,Santo Domingo,Dominican Republic,,LATAM,Caribbean,TEC-PH-10004196,Technology,Phones,"Samsung Smart Phone, Cordless",2044.8,6,0.2,-332.28,417.99,High
879,MX-2014-151554,21-11-2014,21-11-2014,Same Day,TM-21490,Tony Molinari,Consumer,Camagüey,Camagüey,Cuba,,LATAM,Caribbean,TEC-CO-10002617,Technology,Copiers,"Brother Fax Machine, High-Speed",1053.6884,5,0.002,441.2884,367.55,High
5306,MX-2014-117051,12-10-2014,15-10-2014,First Class,TB-21250,Tim Brockman,Consumer,Santiago de Cuba,Santiago de Cuba,Cuba,,LATAM,Caribbean,FUR-TA-10002966,Furniture,Tables,"Chromcraft Computer Table, Fully Assembled",1483.0,5,0.0,741.5,303.65,High
6019,MX-2012-131758,17-10-2012,21-10-2012,Standard Class,JF-15295,Jason Fortune-,Consumer,Guantánamo,Guantánamo,Cuba,,LATAM,Caribbean,FUR-CH-10001332,Furniture,Chairs,"Office Star Executive Leather Armchair, Red",2818.08,9,0.0,225.36,289.52,High
500,MX-2011-125045,22-11-2011,25-11-2011,First Class,SM-20320,Sean Miller,Home Office,San Juan de la Maguana,San Juan,Dominican Republic,,LATAM,Caribbean,OFF-AP-10003561,Office Supplies,Appliances,"Breville Microwave, Black",1124.256,7,0.2,252.896,286.46,Critical
4452,MX-2014-157077,12-11-2014,16-11-2014,Standard Class,ML-17410,Maris LaWare,Consumer,Camagüey,Camagüey,Cuba,,LATAM,Caribbean,FUR-BO-10002300,Furniture,Bookcases,"Dania Classic Bookcase, Traditional",1916.88,7,0.0,939.26,269.76,High
6989,MX-2013-101077,01-06-2013,07-06-2013,Standard Class,RE-19450,Richard Eichhorn,Consumer,Santo Domingo,Santo Domingo,Dominican Republic,,LATAM,Caribbean,TEC-PH-10002815,Technology,Phones,"Samsung Smart Phone, VoIP",2375.296,7,0.2,-207.844,267.78,Low
8859,MX-2011-115686,04-11-2011,08-11-2011,Standard Class,FM-14290,Frank Merwin,Home Office,Spanish Town,Saint Catherine,Jamaica,,LATAM,Caribbean,FUR-BO-10000728,Furniture,Bookcases,"Ikea Classic Bookcase, Mobile",1380.9,5,0.0,303.7,261.26,High
7903,MX-2014-107181,02-12-2014,06-12-2014,Second Class,MC-17635,Matthew Clasen,Corporate,Santa Cruz de Barahona,Barahona,Dominican Republic,,LATAM,Caribbean,TEC-AC-10000203,Technology,Accessories,"SanDisk Router, Bluetooth",1914.08,14,0.2,669.76,258.96,Medium
2642,US-2011-158554,09-08-2011,09-08-2011,Same Day,LH-16750,Larry Hughes,Consumer,Santo Domingo,Santo Domingo,Dominican Republic,,LATAM,Caribbean,OFF-AP-10000663,Office Supplies,Appliances,"Hoover Stove, Red",1819.104,6,0.2,500.184,249.64,High
5467,MX-2014-101980,17-04-2014,20-04-2014,Second Class,AA-10480,Andrew Allen,Consumer,San José de las Lajas,Mayabeque,Cuba,,LATAM,Caribbean,OFF-AP-10001106,Office Supplies,Appliances,"Hamilton Beach Stove, White",1801.6,5,0.0,180.1,241.54,Medium
6773,MX-2011-140900,18-10-2011,21-10-2011,Second Class,DA-13450,Dianna Arnett,Home Office,Sancti Spíritus,Sancti Spíritus,Cuba,,LATAM,Caribbean,TEC-CO-10000771,Technology,Copiers,"Canon Wireless Fax, Laser",755.80536,3,0.002,195.34536,232.42,Critical
3748,MX-2012-134355,28-11-2012,03-12-2012,Standard Class,JL-15235,Janet Lee,Consumer,Santo Domingo,Santo Domingo,Dominican Republic,,LATAM,Caribbean,OFF-AP-10001041,Office Supplies,Appliances,"Hoover Stove, White",1510.96,5,0.2,509.86,224.28,High
7361,MX-2013-121209,03-05-2013,04-05-2013,First Class,CP-12340,Christine Phan,Corporate,San Pedro de Macorís,San Pedro de Macorís,Dominican Republic,,LATAM,Caribbean,OFF-AP-10003834,Office Supplies,Appliances,"KitchenAid Stove, Red",912.24,3,0.2,68.4,211.55,High
4020,MX-2014-114874,11-03-2014,14-03-2014,First Class,SG-20470,Sheri Gordon,Consumer,Consolación del Sur,Pinar del Río,Cuba,,LATAM,Caribbean,FUR-TA-10002519,Furniture,Tables,"Lesro Conference Table, with Bottom Storage",1143.44,2,0.0,320.16,210.8,Critical
2682,MX-2014-164889,08-09-2014,12-09-2014,Second Class,JE-15745,Joel Eaton,Consumer,Camagüey,Camagüey,Cuba,,LATAM,Caribbean,FUR-TA-10004820,Furniture,Tables,"Barricks Wood Table, Fully Assembled",2419.2,7,0.0,411.18,205.17,High
8146,MX-2013-129469,18-11-2013,20-11-2013,First Class,DB-13210,Dean Braden,Consumer,La Romana,La Romana,Dominican Republic,,LATAM,Caribbean,OFF-AP-10003561,Office Supplies,Appliances,"Breville Microwave, Black",803.04,5,0.2,180.64,205.15,High
424,MX-2014-106901,17-10-2014,20-10-2014,First Class,LS-17200,Luke Schmidt,Corporate,Fort-de-France,Martinique,Martinique,,LATAM,Caribbean,FUR-TA-10002433,Furniture,Tables,"Chromcraft Computer Table, with Bottom Storage",1773.72,6,0.0,212.76,205.11,High
2425,US-2014-160192,18-03-2014,22-03-2014,Standard Class,MC-17605,Matt Connell,Corporate,Santo Domingo,Santo Domingo,Dominican Republic,,LATAM,Caribbean,FUR-CH-10001897,Furniture,Chairs,"Hon Executive Leather Armchair, Adjustable",1212.56,5,0.2,-45.54,199.99,High
2582,MX-2014-104472,17-09-2014,19-09-2014,Second Class,CM-11935,Carlos Meador,Consumer,Bayamo,Granma,Cuba,,LATAM,Caribbean,OFF-AP-10002681,Office Supplies,Appliances,"Hamilton Beach Stove, Black",722.36,2,0.0,50.56,197.66,Critical
4232,MX-2013-138359,11-05-2013,16-05-2013,Standard Class,EJ-14155,Eva Jacobs,Consumer,Bayamo,Granma,Cuba,,LATAM,Caribbean,OFF-AP-10004227,Office Supplies,Appliances,"Hamilton Beach Refrigerator, White",1993.08,6,0.0,498.24,185.4,Medium
2034,MX-2011-137316,30-06-2011,05-07-2011,Standard Class,DK-12835,Damala Kotsonis,Corporate,Santo Domingo,Santo Domingo,Dominican Republic,,LATAM,Caribbean,OFF-AP-10003794,Office Supplies,Appliances,"Cuisinart Refrigerator, Red",1852.032,7,0.2,532.392,184.17,Medium
6447,MX-2013-161781,08-03-2013,10-03-2013,First Class,DK-13150,David Kendrick,Corporate,Matanzas,Matanzas,Cuba,,LATAM,Caribbean,FUR-BO-10002992,Furniture,Bookcases,"Dania Library with Doors, Traditional",966.4,4,0.0,115.92,180.38,Medium
8813,MX-2013-141278,04-11-2013,04-11-2013,Same Day,NG-18355,Nat Gilpin,Corporate,Santiago de Cuba,Santiago de Cuba,Cuba,,LATAM,Caribbean,OFF-AP-10002932,Office Supplies,Appliances,"Breville Refrigerator, White",1034.94,3,0.0,248.34,180.01,High
6842,MX-2014-163958,05-09-2014,08-09-2014,Second Class,KE-16420,Katrina Edelman,Corporate,Las Tunas,Las Tunas,Cuba,,LATAM,Caribbean,TEC-CO-10002493,Technology,Copiers,"Hewlett Personal Copier, Color",775.56576,8,0.002,83.88576,180.01,Critical
4647,MX-2014-150000,15-09-2014,21-09-2014,Standard Class,NC-18625,Noah Childs,Corporate,Guantánamo,Guantánamo,Cuba,,LATAM,Caribbean,TEC-PH-10002306,Technology,Phones,"Motorola Smart Phone, Full Size",858.64,2,0.0,171.72,176.47,Low
3924,MX-2011-155299,23-12-2011,25-12-2011,Second Class,BF-11275,Beth Fritzler,Corporate,La Romana,La Romana,Dominican Republic,,LATAM,Caribbean,FUR-CH-10000777,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Adjustable",753.888,3,0.2,103.608,176.21,Critical
2333,MX-2012-124611,03-09-2012,06-09-2012,Second Class,FM-14290,Frank Merwin,Home Office,San Fernando,San Fernando,Trinidad and Tobago,,LATAM,Caribbean,FUR-TA-10000486,Furniture,Tables,"Barricks Wood Table, Adjustable Height",2076.48,6,0.0,996.6,175.99,Medium
1017,MX-2013-157735,22-08-2013,24-08-2013,First Class,KD-16615,Ken Dana,Corporate,Matanzas,Matanzas,Cuba,,LATAM,Caribbean,FUR-BO-10002383,Furniture,Bookcases,"Sauder Floating Shelf Set, Pine",522.48,4,0.0,172.4,173.65,Critical
910,MX-2011-106775,27-10-2011,31-10-2011,Standard Class,AF-10870,Art Ferguson,Consumer,Santa Clara,Villa Clara,Cuba,,LATAM,Caribbean,TEC-PH-10000018,Technology,Phones,"Nokia Smart Phone, Full Size",1274.7,3,0.0,293.16,163.7,High
5313,US-2013-158967,17-06-2013,17-06-2013,Same Day,JR-15670,Jim Radford,Consumer,Carrefour,Ouest,Haiti,,LATAM,Caribbean,FUR-BO-10004771,Furniture,Bookcases,"Safco Library with Doors, Traditional",1091.412,7,0.4,-527.548,158.59,High
2024,MX-2012-133032,06-07-2012,08-07-2012,Second Class,DO-13645,Doug O'Connell,Consumer,Bridgetown,Saint Michael,Barbados,,LATAM,Caribbean,TEC-CO-10003135,Technology,Copiers,"Canon Fax and Copier, High-Speed",882.75096,7,0.002,387.29096,152.53,High
3822,MX-2012-133165,02-11-2012,04-11-2012,First Class,PC-18745,Pamela Coakley,Corporate,Santiago de Cuba,Santiago de Cuba,Cuba,,LATAM,Caribbean,FUR-FU-10000065,Furniture,Furnishings,"Rubbermaid Frame, Black",586.08,8,0.0,87.84,150.27,High
9850,US-2014-136917,26-11-2014,28-11-2014,First Class,RE-19405,Ricardo Emerson,Consumer,Santo Domingo,Santo Domingo,Dominican Republic,,LATAM,Caribbean,TEC-CO-10002759,Technology,Copiers,"HP Copy Machine, Laser",517.80624,4,0.202,-118.11376,150.11,High
7807,MX-2012-135174,22-10-2012,26-10-2012,Standard Class,SD-20485,Shirley Daniels,Home Office,Ciego de Ávila,Ciego de Ávila,Cuba,,LATAM,Caribbean,FUR-TA-10000805,Furniture,Tables,"Bevis Wood Table, Adjustable Height",1428.8,4,0.0,628.64,150.07,High
6922,MX-2013-143665,04-12-2013,05-12-2013,First Class,SS-20590,Sonia Sunley,Consumer,Camagüey,Camagüey,Cuba,,LATAM,Caribbean,TEC-PH-10002774,Technology,Phones,"Nokia Smart Phone, with Caller ID",2129.7,5,0.0,851.8,143.65,High
5925,MX-2012-128384,18-09-2012,22-09-2012,Standard Class,MF-18250,Monica Federle,Corporate,Holguín,Holguín,Cuba,,LATAM,Caribbean,TEC-CO-10003694,Technology,Copiers,"Brother Wireless Fax, Color",1264.965,5,0.002,73.465,137.4,High
4143,MX-2014-125822,04-11-2014,05-11-2014,First Class,LB-16735,Larry Blacks,Consumer,Santo Domingo,Santo Domingo,Dominican Republic,,LATAM,Caribbean,TEC-PH-10003457,Technology,Phones,"Cisco Smart Phone, Full Size",696.192,2,0.2,121.832,135.15,High
3819,MX-2012-133165,02-11-2012,04-11-2012,First Class,PC-18745,Pamela Coakley,Corporate,Santiago de Cuba,Santiago de Cuba,Cuba,,LATAM,Caribbean,FUR-TA-10000945,Furniture,Tables,"Bevis Coffee Table, Adjustable Height",640.74,3,0.0,301.14,133.6,High
9345,US-2013-116771,01-05-2013,01-05-2013,Same Day,RH-19495,Rick Hansen,Consumer,La Vega,La Vega,Dominican Republic,,LATAM,Caribbean,FUR-CH-10000326,Furniture,Chairs,"SAFCO Rocking Chair, Red",503.664,7,0.2,138.404,131.22,Critical
9081,MX-2013-136749,22-10-2013,24-10-2013,First Class,BM-11650,Brian Moss,Corporate,Santiago de Cuba,Santiago de Cuba,Cuba,,LATAM,Caribbean,TEC-AC-10004743,Technology,Accessories,"Logitech Router, USB",825.1,5,0.0,297.0,130.96,High
5757,MX-2013-155705,18-04-2013,22-04-2013,Second Class,RF-19840,Roy Französisch,Consumer,Santa Clara,Villa Clara,Cuba,,LATAM,Caribbean,TEC-CO-10000222,Technology,Copiers,"Sharp Fax and Copier, Color",678.79968,6,0.002,202.63968,130.38,High
9292,MX-2013-100531,18-10-2013,20-10-2013,Second Class,JF-15295,Jason Fortune-,Consumer,La Romana,La Romana,Dominican Republic,,LATAM,Caribbean,FUR-BO-10000567,Furniture,Bookcases,"Sauder Classic Bookcase, Traditional",697.584,4,0.4,-209.296,127.85,High
5954,MX-2011-147781,06-06-2011,07-06-2011,First Class,JL-15835,John Lee,Consumer,Manzanillo,Granma,Cuba,,LATAM,Caribbean,OFF-ST-10000886,Office Supplies,Storage,"Smead Lockers, Wire Frame",394.98,3,0.0,15.78,127.29,Critical
3731,US-2012-108420,26-06-2012,28-06-2012,First Class,BP-11185,Ben Peterman,Corporate,San Juan de la Maguana,San Juan,Dominican Republic,,LATAM,Caribbean,TEC-CO-10001177,Technology,Copiers,"HP Fax and Copier, Color",649.20492,7,0.202,-9.77508,126.87,High
4421,MX-2013-114013,21-06-2013,25-06-2013,Second Class,HE-14800,Harold Engle,Corporate,Ciego de Ávila,Ciego de Ávila,Cuba,,LATAM,Caribbean,TEC-PH-10003157,Technology,Phones,"Nokia Speaker Phone, VoIP",739.44,9,0.0,125.64,125.38,Medium
5929,MX-2014-141208,02-07-2014,06-07-2014,Standard Class,AG-10330,Alex Grayson,Consumer,Bridgetown,Saint Michael,Barbados,,LATAM,Caribbean,FUR-TA-10004801,Furniture,Tables,"Hon Conference Table, Rectangular",1838.1,3,0.0,533.04,124.1,Medium
1154,MX-2014-114195,29-11-2014,06-12-2014,Standard Class,RD-19900,Ruben Dartt,Consumer,San Francisco de Macorís,Duarte,Dominican Republic,,LATAM,Caribbean,FUR-CH-10000892,Furniture,Chairs,"SAFCO Executive Leather Armchair, Red",738.288,3,0.2,-166.152,123.92,Low
7827,MX-2014-168088,09-06-2014,12-06-2014,First Class,OT-18730,Olvera Toch,Consumer,Camagüey,Camagüey,Cuba,,LATAM,Caribbean,FUR-CH-10002093,Furniture,Chairs,"Harbour Creations Rocking Chair, Adjustable",398.88,4,0.0,143.52,123.84,Critical
2343,MX-2014-157602,08-10-2014,12-10-2014,Standard Class,DW-13585,Dorothy Wardle,Corporate,San Fernando,San Fernando,Trinidad and Tobago,,LATAM,Caribbean,TEC-CO-10001919,Technology,Copiers,"Brother Fax Machine, Color",851.57344,4,0.002,356.61344,120.9,High
876,MX-2014-151554,21-11-2014,21-11-2014,Same Day,TM-21490,Tony Molinari,Consumer,Camagüey,Camagüey,Cuba,,LATAM,Caribbean,OFF-AP-10004063,Office Supplies,Appliances,"Cuisinart Stove, Silver",1078.08,3,0.0,452.76,117.24,High
