Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Country,Postal Code,Market,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority
28879,ID-2012-28402,19-04-2012,22-04-2012,First Class,AJ-10780,Anthony Jacobs,Corporate,Kabul,Kabul,Afghanistan,,APAC,Central Asia,FUR-TA-10001889,Furniture,Tables,"Bevis Conference Table, Fully Assembled",4626.15,5,0.0,647.55,835.57,High
22999,IN-2012-44810,25-02-2012,25-02-2012,Same Day,BP-11230,Benjamin Patterson,Consumer,Surat,Gujarat,India,,APAC,Central Asia,FUR-CH-10001415,Furniture,Chairs,"Office Star Executive Leather Armchair, Red",17343.18509420584,4,0.0,582.36,704.08,Critical
29272,IN-2014-37320,11-11-2014,15-11-2014,Standard Class,BF-11005,Barry Franz,Home Office,Gorakhpur,Haryana,India,,APAC,Central Asia,TEC-PH-10003856,Technology,Phones,"Motorola Smart Phone, with Caller ID",4518.78,7,0.0,632.52,658.69,High
25795,IN-2014-76016,26-09-2014,28-09-2014,Second Class,VG-21805,Vivek Grady,Corporate,Thiruvananthapuram,Kerala,India,,APAC,Central Asia,FUR-BO-10004852,Furniture,Bookcases,"Sauder Classic Bookcase, Traditional",5667.87,13,0.0,2097.03,658.35,Medium
28701,IN-2014-35983,01-05-2014,01-05-2014,Same Day,SW-20275,Scott Williamson,Consumer,Jamshedpur,Jharkhand,India,,APAC,Central Asia,TEC-MA-10002680,Technology,Machines,"Konica Inkjet, White",42509.31617218717,7,0.0,500.01,637.86,Critical
29047,IN-2012-66342,30-05-2012,31-05-2012,First Class,SG-20470,Sheri Gordon,Consumer,Bhopal,Madhya Pradesh,India,,APAC,Central Asia,TEC-CO-10004997,Technology,Copiers,"Hewlett Wireless Fax, Color",-32.01881743931118,-5,0.0,732.72,625.77,Critical
29601,IN-2012-48240,25-05-2012,28-05-2012,Second Class,GP-14740,Guy Phonely,Corporate,Delhi,Delhi,India,,APAC,Central Asia,FUR-TA-10000226,Furniture,Tables,"Chromcraft Conference Table, with Bottom Storage",0.0,2,0.0,226.86,616.27,Critical
26634,IN-2014-75470,11-03-2014,13-03-2014,Second Class,CS-12460,Chuck Sachs,Consumer,Dhaka,Dhaka,Bangladesh,,APAC,Central Asia,FUR-BO-10001073,Furniture,Bookcases,"Safco Classic Bookcase, Metal",3063.27,7,0.0,581.91,609.24,High
28932,IN-2014-11231,16-12-2014,19-12-2014,First Class,CS-11845,Cari Sayre,Corporate,Raipur,Uttarakhand,India,,APAC,Central Asia,FUR-TA-10001205,Furniture,Tables,"Chromcraft Wood Table, Rectangular",1920.36,4,0.0,652.92,592.77,Critical
30199,IN-2011-46413,28-10-2011,28-10-2011,Same Day,RM-19375,Raymond Messe,Consumer,Naihati,West Bengal,India,,APAC,Central Asia,FUR-CH-10000602,Furniture,Chairs,"Novimex Executive Leather Armchair, Red",2301.0,5,0.0,91.95,573.27,Critical
27962,IN-2013-48765,28-10-2013,31-10-2013,First Class,BK-11260,Berenike Kampe,Consumer,Tongi,Dhaka,Bangladesh,,APAC,Central Asia,FUR-BO-10003282,Furniture,Bookcases,"Ikea Classic Bookcase, Mobile",3728.43,9,0.0,1192.86,553.31,Medium
29600,IN-2012-48240,25-05-2012,28-05-2012,Second Class,GP-14740,Guy Phonely,Corporate,Delhi,Delhi,India,,APAC,Central Asia,TEC-PH-10004664,Technology,Phones,"Nokia Smart Phone, with Caller ID",1916.73,3,0.0,498.33,548.4,Critical
23880,IN-2013-30663,25-11-2013,27-11-2013,First Class,SV-20815,Stuart Van,Corporate,Vadodara,Gujarat,India,,APAC,Central Asia,TEC-CO-10004535,Technology,Copiers,"Hewlett Fax Machine, High-Speed",1590.6,5,0.0,572.55,493.2,Critical
25678,IN-2011-30292,13-05-2011,17-05-2011,Standard Class,NC-18625,Noah Childs,Corporate,Dhaka,Dhaka,Bangladesh,,APAC,Central Asia,TEC-AC-10000866,Technology,Accessories,"Belkin Router, Erganomic",0.0,12,0.0,523.08,474.44,High
25850,IN-2014-65488,17-07-2014,20-07-2014,First Class,CP-12340,Christine Phan,Corporate,Aurangabad,Bihar,India,,APAC,Central Asia,OFF-AP-10002090,Office Supplies,Appliances,"Hamilton Beach Refrigerator, Red",4001.04,8,0.0,1440.24,439.65,Medium
29269,IN-2014-37320,11-11-2014,15-11-2014,Standard Class,BF-11005,Barry Franz,Home Office,Gorakhpur,Haryana,India,,APAC,Central Asia,OFF-AP-10002244,Office Supplies,Appliances,"Breville Refrigerator, White",3622.29,7,0.0,1267.77,438.89,High
29226,IN-2014-68463,22-05-2014,25-05-2014,Second Class,DM-13345,Denise Monton,Corporate,Bokaro,Jharkhand,India,,APAC,Central Asia,OFF-ST-10004060,Office Supplies,Storage,"Fellowes Lockers, Blue",1865.97,9,0.0,802.17,413.95,Critical
24030,IN-2014-23761,02-06-2014,04-06-2014,First Class,MH-18115,Mick Hernandez,Home Office,Kozhikode,Kerala,India,,APAC,Central Asia,FUR-BO-10000210,Furniture,Bookcases,"Ikea Library with Doors, Pine",1094.22,3,0.0,328.23,411.06,Critical
26325,IN-2014-32770,07-10-2014,11-10-2014,Standard Class,AP-10720,Anne Pryor,Home Office,Jabalpur,Madhya Pradesh,India,,APAC,Central Asia,TEC-PH-10003856,Technology,Phones,"Motorola Smart Phone, with Caller ID",2582.16,4,0.0,361.44,404.08,High
21924,IN-2014-14780,not_a_date,21-10-2014,Standard Class,CR-12820,Cyra Reiten,Home Office,Patna,Bihar,India,,APAC,Central Asia,TEC-PH-10004664,Technology,Phones,"Nokia Smart Phone, with Caller ID",3194.55,5,0.0,830.55,403.97,High
25445,IN-2011-51964,28-12-2011,29-12-2011,First Class,AB-10105,Adrian Barton,Consumer,Kochi,Kerala,India,,APAC,Central Asia,TEC-CO-10002526,Technology,Copiers,"Sharp Wireless Fax, Digital",1066.68,3,0.0,394.65,383.68,Critical
21995,IN-2012-18518,04-10-2012,09-10-2012,Standard Class,TT-21070,Ted Trevino,Consumer,Agra,Uttar Pradesh,India,,APAC,Central Asia,FUR-CH-10001207,Furniture,Chairs,"Hon Executive Leather Armchair, Red",2756.34,6,0.0,413.28,369.4,High
21500,IN-2012-79439,04-02-2012,,Second Class,EM-13810,Eleni McCrary,Corporate,Dehra Dun,Uttarakhand,India,,APAC,Central Asia,FUR-BO-10001372,Furniture,Bookcases,"Safco Classic Bookcase, Pine",-40.99168404771293,7,0.0,215.25,359.27,Medium
23212,IN-2013-50809,12-06-2013,17-06-2013,Standard Class,CA-12775,Cynthia Arntzen,Consumer,Kota,Chhattisgarh,India,,APAC,Central Asia,TEC-PH-10000169,Technology,Phones,"Apple Smart Phone, with Caller ID",0.0,9,0.0,2817.99,353.85,Medium
20869,IN-2011-26176,16-08-2011,20-08-2011,Standard Class,KB-16600,Ken Brennan,Corporate,Lucknow,Uttar Pradesh,India,,APAC,Central Asia,FUR-BO-10001934,Furniture,Bookcases,"Bush Library with Doors, Metal",3274.02,9,0.0,261.9,351.08,Medium
29513,ID-2013-12295,14-09-2013,14-09-2013,Same Day,SN-20560,Skye Norling,Home Office,Lahore,Punjab,Pakistan,,APAC,Central Asia,TEC-PH-10002991,Technology,Phones,"Apple Smart Phone, Full Size",3499.155,11,0.5,-3009.435,333.1,Medium
20583,IN-2011-23530,09-11-2011,11-11-2011,First Class,AS-10285,Alejandro Savely,Corporate,Kanpur,Uttar Pradesh,India,,APAC,Central Asia,FUR-CH-10004694,Furniture,Chairs,"Office Star Rocking Chair, Black",969.36,7,0.0,348.81,330.01,Critical
27819,IN-2014-47449,12-07-2014,13-07-2014,First Class,CD-12280,Christina DeMoss,Consumer,Delhi,Delhi,India,,APAC,Central Asia,FUR-BO-10000288,Furniture,Bookcases,"Safco Classic Bookcase, Traditional",2190.75,5,0.0,65.7,327.55,Medium
21010,IN-2014-32084,06-08-2014,09-08-2014,Second Class,AF-10885,Art Foster,Consumer,Salem,Tamil Nadu,India,,APAC,Central Asia,TEC-PH-10001457,Technology,Phones,"Apple Smart Phone, Full Size",2550.0,4,0.0,280.44,326.32,High
20408,IN-2014-13597,03-11-2014,07-11-2014,Standard Class,AC-10450,Amy Cox,Consumer,Chennai,Tamil Nadu,India,,APAC,Central Asia,FUR-TA-10002256,Furniture,Tables,"Hon Wood Table, Fully Assembled",2664.0,0,0.0,905.7,325.54,Medium
20974,IN-2011-40155,14-11-2011,20-11-2011,Standard Class,CL-12700,Craig Leslie,Home Office,Kulti,West Bengal,India,,APAC,Central Asia,TEC-PH-10000499,Technology,Phones,"Motorola Smart Phone, Full Size",4498.83,7,0.0,674.73,323.75,Medium
28557,IN-2012-26274,27-02-2012,04-03-2012,Standard Class,BT-11530,Bradley Talbott,Home Office,Muzaffarpur,Bihar,India,,APAC,Central Asia,FUR-TA-10001116,Furniture,Tables,"Barricks Conference Table, Fully Assembled",45000.34798975881,6,0.0,327.06,320.27,Medium
26889,IN-2011-44901,23-02-2011,,First Class,MG-18205,Mitch Gastineau,Corporate,Thane,Maharashtra,India,,APAC,Central Asia,TEC-CO-10004997,Technology,Copiers,"Hewlett Wireless Fax, Color",0.0,4,0.0,732.72,319.53,High
27724,IN-2014-48261,23-10-2014,25-10-2014,First Class,CY-12745,Craig Yedwab,Corporate,Bangalore,Karnataka,India,,APAC,Central Asia,TEC-CO-10002376,Technology,Copiers,"Hewlett Fax Machine, Laser",36798.13963436872,-2,0.0,460.62,317.81,Critical
21510,IN-2013-15277,11-11-2013,11-11-2013,Same Day,MR-17545,Mathew Reese,Home Office,Jodhpur,Rajasthan,India,,APAC,Central Asia,TEC-CO-10002150,Technology,Copiers,"Canon Fax and Copier, Digital",763.92,4,0.0,381.96,313.66,Critical
26224,ID-2013-69345,19-09-2013,23-09-2013,Standard Class,EM-13960,Eric Murdock,Consumer,Nagpur,Maharashtra,India,,APAC,Central Asia,OFF-AP-10001824,Office Supplies,Appliances,"Breville Stove, Silver",32629.892262045836,4,0.0,224.88,311.14,High
20424,IN-2014-16887,05-05-2014,07-05-2014,Second Class,CC-12475,Cindy Chapman,Consumer,Bhavnagar,Gujarat,India,,APAC,Central Asia,TEC-CO-10002040,Technology,Copiers,"Brother Fax Machine, Digital",0.0,4,0.0,534.48,305.27,High
23419,IN-2012-44278,04-05-2012,06-05-2012,Second Class,NZ-18565,Nick Zandusky,Home Office,Jaipur,Rajasthan,India,,APAC,Central Asia,TEC-CO-10003102,Technology,Copiers,"Canon Copy Machine, Color",2372.22,9,0.0,0.0,302.82,High
20612,IN-2014-78725,02-10-2014,06-10-2014,Standard Class,NF-18385,Natalie Fritzler,Consumer,Dhaka,Dhaka,Bangladesh,,APAC,Central Asia,TEC-PH-10001670,Technology,Phones,"Motorola Smart Phone, Full Size",2575.92,4,0.0,978.84,298.83,High
20428,IN-2014-53427,09-05-2014,15-05-2014,Standard Class,LT-16765,Larry Tron,Consumer,Imphal,Manipur,India,,APAC,Central Asia,FUR-TA-10004711,Furniture,Tables,"Lesro Conference Table, Adjustable Height",16428.53396763943,5,0.0,300.9,297.81,Low
29718,IN-2011-51740,03-08-2011,06-08-2011,Second Class,DM-13525,Don Miller,Corporate,Muzaffarpur,Bihar,India,,APAC,Central Asia,TEC-PH-10000720,Technology,Phones,"Samsung Audio Dock, Full Size",840.6,5,0.0,319.35,296.68,Critical
21328,IN-2013-57914,19-08-2013,21-08-2013,Second Class,CM-11815,Candace McMahon,Corporate,Lahore,Punjab,Pakistan,,APAC,Central Asia,TEC-PH-10000303,Technology,Phones,"Samsung Smart Phone, VoIP",2863.08,9,0.5,-458.19,293.78,Medium
22855,IN-2014-68057,07-08-2014,12-08-2014,Standard Class,JS-16030,Joy Smith,Consumer,Lahore,Punjab,Pakistan,,APAC,Central Asia,FUR-CH-10001271,Furniture,Chairs,"SAFCO Executive Leather Armchair, Red",2584.008,7,0.2,290.598,291.06,Medium
22711,IN-2012-27583,24-02-2012,29-02-2012,Standard Class,DL-13330,Denise Leinenbach,Consumer,Nagpur,Maharashtra,India,,APAC,Central Asia,TEC-PH-10001699,Technology,Phones,"Samsung Smart Phone, Full Size",3187.2,5,0.0,541.8,289.17,Medium
29319,IN-2012-75904,10-05-2012,12-05-2012,First Class,BW-11110,Bart Watters,Corporate,Jhansi,Uttar Pradesh,India,,APAC,Central Asia,TEC-MA-10001752,Technology,Machines,"Konica Printer, Durable",1607.76,6,0.0,482.22,286.74,High
20851,IN-2013-71333,13-09-2013,13-09-2013,Same Day,JE-15610,Jim Epp,Corporate,Amravati,Maharashtra,India,,APAC,Central Asia,TEC-PH-10004006,Technology,Phones,"Nokia Audio Dock, Full Size",840.15,5,0.0,260.4,286.67,Critical
25908,IN-2014-25847,11-10-2014,14-10-2014,Second Class,JK-16090,Juliana Krohn,Consumer,Delhi,Delhi,India,,APAC,Central Asia,OFF-AP-10003275,Office Supplies,Appliances,"KitchenAid Microwave, Silver",2488.56,8,0.0,348.24,286.53,High
28702,IN-2014-35983,01-05-2014,01-05-2014,Same Day,SW-20275,Scott Williamson,Consumer,Jamshedpur,Jharkhand,India,,APAC,Central Asia,FUR-CH-10000994,Furniture,Chairs,"Harbour Creations Rocking Chair, Black",723.3,5,0.0,122.85,286.01,Critical
22166,ID-2012-17601,20-12-2012,23-12-2012,First Class,JM-15865,John Murray,Consumer,Quetta,Baluchistan,Pakistan,,APAC,Central Asia,OFF-AP-10001329,Office Supplies,Appliances,"KitchenAid Stove, White",0.0,6,0.5,-1023.03,285.61,Critical
25276,IN-2012-53420,not_a_date,14-04-2012,Second Class,LW-16825,Laurel Workman,Corporate,Nasik,Maharashtra,India,,APAC,Central Asia,TEC-CO-10004961,Technology,Copiers,"HP Wireless Fax, Color",-6.374204264338573,2,0.0,332.7,273.63,Critical
23466,IN-2011-10055,06-10-2011,10-10-2011,Standard Class,TS-21370,Todd Sumrall,Corporate,Visakhapatnam,Andhra Pradesh,India,,APAC,Central Asia,OFF-AP-10003598,Office Supplies,Appliances,"Breville Refrigerator, Red",2077.32,4,0.0,581.64,269.89,Medium
21505,IN-2012-29130,16-06-2012,22-06-2012,Standard Class,JR-15700,Jocasta Rupert,Consumer,Kollam,Kerala,India,,APAC,Central Asia,OFF-AP-10003275,Office Supplies,Appliances,"KitchenAid Microwave, Silver",2799.63,9,0.0,391.77,265.46,Medium
27261,IN-2011-17594,22-09-2011,27-09-2011,Second Class,DP-13165,David Philippe,Consumer,Thane,Maharashtra,India,,APAC,Central Asia,TEC-PH-10001751,Technology,Phones,"Samsung Smart Phone, Cordless",1917.0,3,0.0,690.12,261.08,High
26887,IN-2011-44901,23-02-2011,26-02-2011,First Class,MG-18205,Mitch Gastineau,Corporate,Thane,Maharashtra,India,,APAC,Central Asia,FUR-BO-10002462,Furniture,Bookcases,"Ikea Classic Bookcase, Pine",2065.5,5,0.0,41.25,248.81,High
