Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Country,Postal Code,Market,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority
32298,CA-2012-124891,31-07-2012,31-07-2012,Same Day,RH-19495,Rick Hansen,Consumer,New York City,New York,United States,10024.0,US,East,TEC-AC-10003033,Technology,Accessories,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,2309.65,7,0.0,762.1845,933.57,Critical
36423,CA-2011-160766,14-09-2011,14-09-2011,Same Day,DM-13015,Darrin Martin,Consumer,New York City,New York,United States,10009.0,US,East,TEC-MA-10003979,Technology,Machines,Ativa V4110MDD Micro-Cut Shredder,2799.96,4,0.0,1371.9804,675.15,High
40046,US-2012-163825,16-06-2012,19-06-2012,First Class,LC-16885,Lena Creighton,Consumer,New York City,New York,United States,10009.0,US,East,OFF-BI-10003527,Office Supplies,Binders,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,3050.376,3,0.2,1143.891,632.05,High
39501,CA-2012-114811,08-11-2012,08-11-2012,Same Day,KD-16495,Keith Dawkins,Corporate,New York City,New York,United States,10024.0,US,East,TEC-MA-10000045,Technology,Machines,Zebra ZM400 Thermal Label Printer,4643.8,4,0.0,2229.024,607.34,Medium
38540,CA-2014-118892,18-08-2014,23-08-2014,Second Class,TP-21415,Tom Prescott,Consumer,Philadelphia,Pennsylvania,United States,19134.0,US,East,FUR-CH-10002024,Furniture,Chairs,HON 5400 Series Task Chairs for Big and Tall,4416.174,9,0.3,-630.882,566.65,Medium
35574,US-2013-107440,17-04-2013,21-04-2013,Standard Class,BS-11365,Bill Shonely,Corporate,Lakewood,New Jersey,United States,8701.0,US,East,TEC-MA-10001047,Technology,Machines,"3D Systems Cube Printer, 2nd Generation, Magenta",9099.93,7,0.0,2365.9818,516.91,Medium
37923,CA-2011-145541,14-12-2011,21-12-2011,Standard Class,TB-21400,Tom Boeckenhauer,Consumer,New York City,New York,United States,10024.0,US,East,TEC-MA-10001127,Technology,Machines,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",6999.96,4,0.0,2239.9872,499.55,Medium
37722,CA-2013-143714,24-05-2013,28-05-2013,Standard Class,CC-12370,Christopher Conant,Consumer,Philadelphia,Pennsylvania,United States,19120.0,US,East,TEC-CO-10004722,Technology,Copiers,Canon imageCLASS 2200 Advanced Copier,8399.976,4,0.4,1119.9968,498.08,Medium
40932,CA-2011-151330,14-10-2011,17-10-2011,First Class,TC-21295,Toby Carlisle,Consumer,Everett,Massachusetts,United States,2149.0,US,East,FUR-CH-10000749,Furniture,Chairs,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,1628.82,9,0.0,260.6112,496.46,Critical
32998,CA-2012-114069,13-07-2012,15-07-2012,Second Class,ND-18370,Natalie DeCherney,Consumer,New York City,New York,United States,10035.0,US,East,FUR-CH-10000595,Furniture,Chairs,Safco Contoured Stacking Chairs,1931.04,9,0.1,321.84,477.15,Critical
32382,US-2013-143819,02-03-2013,06-03-2013,Standard Class,KD-16270,Karen Daniels,Consumer,Yonkers,New York,United States,10701.0,US,East,TEC-MA-10003979,Technology,Machines,Ativa V4110MDD Micro-Cut Shredder,4899.93,7,0.0,2400.9657,466.33,Medium
39069,CA-2013-108196,26-11-2013,03-12-2013,Standard Class,CS-12505,Cindy Stewart,Consumer,Lancaster,Ohio,United States,43130.0,US,East,TEC-MA-10000418,Technology,Machines,Cubify CubeX 3D Printer Double Head Print,4499.985,5,0.7,-6599.978,451.63,Low
33921,CA-2014-127180,23-10-2014,25-10-2014,First Class,TA-21385,Tom Ashbrook,Home Office,New York City,New York,United States,10024.0,US,East,TEC-PH-10001494,Technology,Phones,Polycom CX600 IP Phone VoIP phone,2399.6,8,0.0,647.892,449.45,High
34367,CA-2011-119375,17-11-2011,22-11-2011,Standard Class,YC-21895,Yoseph Carroll,Corporate,Newark,Delaware,United States,19711.0,US,East,OFF-ST-10002011,Office Supplies,Storage,Smead Adjustable Mobile File Trolley with Lockable Top,2934.33,7,0.0,792.2691,428.8,High
39721,CA-2014-150091,13-10-2014,17-10-2014,Standard Class,NP-18670,Nora Paige,Consumer,Lakewood,New Jersey,United States,8701.0,US,East,FUR-BO-10003404,Furniture,Bookcases,"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",2154.9,5,0.0,129.294,426.05,High
39211,CA-2014-165323,18-06-2014,22-06-2014,Standard Class,SR-20740,Steven Roelle,Home Office,New York City,New York,United States,10024.0,US,East,TEC-MA-10003673,Technology,Machines,Hewlett-Packard Desktjet 6988DT Refurbished Printer,3404.5,5,0.0,1668.205,419.06,High
33317,CA-2013-168354,20-09-2013,22-09-2013,First Class,RH-19510,Rick Huthwaite,Home Office,Providence,Rhode Island,United States,2908.0,US,East,OFF-ST-10001490,Office Supplies,Storage,"Hot File 7-Pocket, Floor Stand",1606.23,9,0.0,481.869,418.26,High
36446,CA-2011-141796,21-06-2011,21-06-2011,Same Day,JG-15160,James Galang,Consumer,Long Beach,New York,United States,11561.0,US,East,TEC-PH-10001578,Technology,Phones,Polycom SoundStation2 EX Conference phone,1214.85,3,0.0,352.3065,417.47,Critical
33283,CA-2013-147417,26-07-2013,28-07-2013,First Class,CB-12415,Christy Brittain,Consumer,Columbus,Ohio,United States,43229.0,US,East,TEC-CO-10001449,Technology,Copiers,Hewlett Packard LaserJet 3310 Copier,1439.976,4,0.4,191.9968,408.79,Critical
33100,CA-2014-158379,23-09-2014,27-09-2014,Second Class,JA-15970,Joseph Airdo,Consumer,Philadelphia,Pennsylvania,United States,19134.0,US,East,OFF-SU-10002881,Office Supplies,Supplies,Martin Yale Chadless Opener Electric Letter Opener,4663.736,7,0.2,-1049.3406,400.04,Medium
40567,US-2014-102183,22-08-2014,29-08-2014,Standard Class,PK-19075,Pete Kriz,Consumer,New York City,New York,United States,10035.0,US,East,OFF-BI-10001359,Office Supplies,Binders,GBC DocuBind TL300 Electric Binding System,4305.552,6,0.2,1453.1238,398.64,Medium
35687,CA-2014-111556,21-11-2014,23-11-2014,First Class,CD-11920,Carlos Daly,Consumer,New York City,New York,United States,10035.0,US,East,TEC-PH-10001459,Technology,Phones,Samsung Galaxy Mega 6.3,1259.97,3,0.0,327.5922,394.57,Critical
38876,CA-2012-123113,23-11-2012,27-11-2012,Second Class,AT-10735,Annie Thurman,Consumer,Morristown,New Jersey,United States,7960.0,US,East,OFF-AP-10000275,Office Supplies,Appliances,"Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black",2625.12,8,0.0,735.0336,366.72,Medium
35487,CA-2014-166709,18-11-2014,23-11-2014,Standard Class,HL-15040,Hunter Lopez,Consumer,Newark,Delaware,United States,19711.0,US,East,TEC-CO-10004722,Technology,Copiers,Canon imageCLASS 2200 Advanced Copier,10499.97,3,0.0,5039.9856,363.19,Medium
